address,availability,bathroom,bedrooms,date_listed,date_update,furnished,gender,link,parking,pet,price,smoking,text,title,type_,user,views
42 grazier ls crecent clyde north 3978,21/11/2019,1 Bathroom,1 Bedroom,21/11/2019,21/11/2019,,,https://www.gumtree.com.au/s-ad/clyde/property-for-rent/room-for-rent-in-clyde-north-near-grices-road/1234087600,Street,,$600,,"One bedroom for rent in great location in Clyde north . Near grices road close to beaconsfield train station .,Separate bathroom & toilet only tenant will use . Cooling & heating WiFi . Only for female .",Room for rent in Clyde north near grices road,House,"Ash,Gummie since, ,2012","72, , views"
Scoresby VIC,03/12/2019,2 Bathrooms,3 Bedrooms,21/11/2019,26/11/2019,No,,https://www.gumtree.com.au/s-ad/scoresby/property-for-rent/for-short-term-rent-scoresby/1234091712,,Yes,$400,,"house available for short term rent, min 28 days/4 weeks in Scoresby. House is unfurnished. price $400pw,3 sizable bedrooms serviced by a spacious central bathroom with bathtub and shower area a separate toilet room. Featuring pine floorboards, semi ensuite to master, well appointed kitchen with dishwasher, ducted heating, decking and more. Close to shops and Eastlink.,Enquire by email to asa******@******com ,Please provide as much detail as possible including -,(a) dates required,(b) names and ages/age group of persons wishing to apply for rental,(c) work & personal contact details,(d) brief reason for seeking short term –,Short term rental agreement (with ability to extend) provided,Please reply by email directly to asa******@******com or message ******2748",For short term rent - Scoresby,House,"Christine,4, ,ads,Gummie since, ,2015","175, , views"
Mulgrave VIC,"Bring income document, drive license and deposit for sign contract.",1 Bathroom,3 Bedrooms,21/11/2019,29/11/2019,Yes,,https://www.gumtree.com.au/s-ad/mulgrave/property-for-rent/mulgrave-3-bedrooms-with-private-bathroom-near-freeway/1234100494,Covered,"Bring income document, drive license and deposit for sign contract.",$305,,"Looking for smart family without sub rent.,Nice fully furnished room in well-established house located in peaceful Mulgrave. Available on 30/11/2019.,School nearby.1km to free way. 1.5km to Waverley Gardens Shopping Centre. 300m to bus 802/804/862 direct to Monash Uni, Dandenong.,House is fully furnished (with laundry and spacious, fully equipped kitchen) and comes with 200G wireless NBN internet. Privet bathroom and share kitchen.,Nice back yard, deck/verandah, ample yard and in-house parking.,Total rent is $305per week which comes out to $1300 per month.,Contact Peter on ******** 166 or email jxy******@******com.,Bring income document, drive license and deposit for sign contract.",Mulgrave 3 bedrooms with private bathroom- near freeway,House,"Peter,Gummie since, ,2011","420, , views"
"412/31 Grattan Street, Prahran VIC 3181",09/12/2019,1 Bathroom,1 Bedroom,20/11/2019,28/11/2019,No,,https://www.gumtree.com.au/s-ad/prahran/property-for-rent/one-bedroom-apartment-in-the-heart-of-prahran/1234053853,Off Street,No,$450,No,"Your opportunity to live in the coveted Emporia complex in this prime and sought-after location.,THE APARTMENT,This modern and spacious 1-bedroom apartment is sure to impress.,Features include:,•	Large open living/dining with reverse cycle heating and cooling.,•	Balcony, with an added green wall, overlooking beautiful Grattan Gardens.,•	Double glazed windows for minimal street noise and excellent temperature control.,•	Italian made kitchen with stone benchtops, gas cooktop, built-in refrigerator, dishwasher, water filter and storage.,•	Blackout blinds in the bedroom and plenty of storage including a built-in robe and extra shelving above.,•	Wall to wall tiles in the bathroom and a large walk-in shower.,•	Secure basement car space included.,•	Video intercom/security entrance.,•	Access to the communal BBQ area on level 1 (overlooking Commercial Road) with an indoor and outdoor dining area and bathroom – perfect for entertaining.,THE LOCATION,Located in the heart of Prahran's shopping precinct with everything you need on your doorstep:,•	1 min walk to tram 72 to the CBD or Camberwell.,•	1 min walk to Prahran Market.,•	2 min walk to Chapel Street.,•	2 min walk to Kaya Health Club, MBS gym, Anytime Fitness.,•	3 min walk to Coles, Woolworths, ALDI & Dan Murphy’s.,•	5 min walk to Prahran Station.,•	10 min walk to South Yarra Station.,•	10 min drive from St Kilda Beach.,•	15 min drive of Etihad Stadium, Southbank, Rod Laver Arena and the MCG.,$450 per week. $2,000 bond.,Unfurnished (except for in-built fridge, dishwasher & desk).,Inspection Saturday 30th November. Email to confirm attendance or to arrange a different inspection time.",One-bedroom apartment in the heart of Prahran,Apartment & Unit,"Erin,Gummie since, ,2014","227, , views"
Dandenong VIC,31/12/2019,1 Bathroom,3 Bedrooms,20/11/2019,20/11/2019,,,https://www.gumtree.com.au/s-ad/dandenong/property-for-rent/lease-transfer-from-end-of-december-/1234006398,Covered,,"$1,304",,"lease transfer from 31st december 2019 - house in dandenong central. With a backyard, garage and a separate room with outside entance. ( partly furnished)",Lease transfer (from end of december),House,"Roj Amar,Gummie since, ,2018","428, , views"
"Malvern East, VIC",20/11/2019,1 Bathroom,2 Bedrooms,20/11/2019,28/11/2019,No,,https://www.gumtree.com.au/s-ad/malvern-east/property-for-rent/16-800-warrigal-rd-malvern-east-2-bedroom-apartment-for-lease/1234008949,Off Street,No,$360,No,"INSPECTION DETAILS,Saturday, 30 November 2019,Inspection time: 11:15 AM - 11:30 AM,REGENT'S PARK - EASY LIVING! 2 BEDROOM APARTMENT,Please contact agent for further details and inspection times or go to our website to register.,DINGLE PARTNERS REAL ESTATE,Rhiannon Waldie -*****8974,Rhia******@******.au,SPACIOUS 2 BEDROOM APARTMENT -AVAILABLE NOW,$360.00 per week/ $1564.00 per calendar month/ $1800.00 Bond,Tucked into the sunniest corner of a leafy estate, this easy to maintain first floor two bedroom,apartment, is perfectly positioned for lifestyle and Chadstone Shopping Centre.,A large living space is enhanced by double glazed windows for heat and noise reduction.,The kitchen has an electric stove, good preparation surfaces and excellent storage.,Bathroom comprises a WC, shower over bath and laundry.,Good sized bedrooms have blinds and BIRs.,You'll be pleased with the security intercom, undercover parking and quick getaway - up the,Monash Freeway - to the city.,This property is located close to Chadstone Shopping Centre, Oakleigh and Malvern East,railway stations, Monash University, Phoenix Park and Mentone Beach. Frequent Buses,stop outside the estate's main entrance.","16/800 WARRIGAL RD, MALVERN EAST- 2 BEDROOM APARTMENT FOR LEASE",Apartment & Unit,"Rhiannon Waldie,Gummie since, ,2019","133, , views"
"Glenroy, VIC",25/11/2019,1 Bathroom,2 Bedrooms,20/11/2019,2 hours ago,,,https://www.gumtree.com.au/s-ad/glenroy/property-for-rent/for-lease/1234009765,LUG,,$355,,"address: 4/31 Clovelly Avenue Glenroy,Near new unit opposite Glenroy Primary and walking distance to shops and train station.,Located within a quiet location ( last unit of the complex ).,Open For Inspection: Wednesday 4/12/19 5:30pm,Weekly Rent : $355 / week,Bond : $1538",For Lease,Apartment & Unit,"Steven,Gummie since, ,2012","355, , views"
4/22 jones road dandenong,01/12/2019,1 Bathroom,2 Bedrooms,20/11/2019,20/11/2019,Yes,,https://www.gumtree.com.au/s-ad/dandenong/property-for-rent/furnished-room-for-rent-in-2-rooms-unit/1234011102,,,$920,,"(Available from 1st December),Hi,We have a fully furnished room available. its a 2bhk unit one room is occupied by Punjabi couple other room is available for both couple or girls.,The house is fully furnished with all the necessary amenities. We have everything in kitchen so u don’t need to get anything. Just pack ur bags and shift. Rent is $920 per month including everything ( all bills included) $500 is the bond.,Everyone in the house is helpful , adjusting and of very cool nature.,House is very close to station dandenong and yarraman both 10 minutes walk only, and indian grocery, dandenong plaza, all the restaurants, dandenong fruit and vegetable market. Everything is in walking distance. 1 month notice prior to leaving the house is necessary.,Rest if u wants to know u can call or text [hidden information] .,Parking is available in front of unit and there is free street parking so if u have a car u can park on street as well.( if u have one car that can be parked in the unit area in parking) but if u have second car that has to be parked on street parking. Read less",Furnished room for rent in 2 rooms unit,Apartment & Unit,"Rajinder,Gummie since, ,2019","199, , views"
3/3 Mclennan Place Preston East 3072,20/11/2019,1 Bathroom,3 Bedrooms,20/11/2019,22/11/2019,Yes,,https://www.gumtree.com.au/s-ad/preston/property-for-rent/3-bedrooms-apartment/1234011409,Off Street,Yes,$395,Yes,"quiet comfortable 3 bedrooms with security front gate, At the side of Northland Shopping Centre, Buses across the road direct to Latrobe University also to anywhere as the main bus stop at the side of shopping center.The rooms are furnished with fridge and washing machine microwave, hot water bottle.",3 bedrooms apartment,Apartment & Unit,"Dillon Zheng,Gummie since, ,2011","173, , views"
"22 Elinda Pl, Reservoir VIC 3073",21/11/2019,1 Bathroom,1 Bedroom,20/11/2019,20/11/2019,Yes,,https://www.gumtree.com.au/s-ad/reservoir/property-for-rent/room-for-rent/1234015645,Street,No,$600,No,"Hi , I am renting a room on my three bedrooms house , family house looking for girls only,600 per moth for only one girl, two girls 650 per month,Close to keonpark station",Room for rent,House,"Bulla,Gummie since, ,2014","82, , views"
"45 Clarke Street, Southbank, VIC",10/12/2019,1 Bathroom,2 Bedrooms,20/11/2019,20/11/2019,No,,https://www.gumtree.com.au/s-ad/southbank/property-for-rent/apartment-in-inkerman-st-1971-per-month/1234011609,Covered,,"$1,971",,"We're leaving this beautiful apartment in Inkerman st.,Great location and cheap price,5 min by walk to St kilda beach, Ackland street, Chapel St,Close to Balaclava shops,pub,markets,gym and station 20 mins by bus to city,Transfer lease,1971 pr month,1971 bond",Apartment in Inkerman st 1971 per month,Apartment & Unit,"stefano marsiglio,Gummie since, ,2017","95, , views"
St Kilda,24/12/2019,1 Bathroom,2 Bedrooms,20/11/2019,21/11/2019,No,,https://www.gumtree.com.au/s-ad/st-kilda/property-for-rent/2-bedroom-apartment-with-rooftop-views-of-st-kilda/1234016374,LUG,No,$485,No,"**Only private inspections available with the current tenant, please call me to arrange a suitable time for inspection.,**AVAILABLE 24.12.2019**,**YOU DO NOT NEED TO REGISTER, WE WILL TAKE YOUR DETAILS DOWN ON THE DAY**,Property - Luna Apartment, 215/173 Barkly Street St Kilda VIC 3182,Rental - $485 Per Week,Bond - $2,107,Be quick to inspect this quality property.,This architecturally designed apartment by award winning architects Elenberg Fraser, designed to reflect St Kilda's dazzling lifestyle & built with only the highest standards and attention to detail throughout. This immaculately presented 2 bedroom apartment will appeal to couples and executives alike & reaps the benefits of both beach and city living situated in a fantastic central location just moments from St Kilda beach and only metres to the popular Acland Street shops and cafes.,Comprising: Intercom video security, open plan living/kitchen area with large floor to ceiling windows & juliette balcony, beautifully appointed fully equipped kitchen with detailed joinery and quality stainless steel appliances including gas cooktop/electric oven, fully integrated dishwasher and plenty of cupboard & bench space, bedroom with built in robes, ultra modern bathroom with large shower & rain shower head.,Features: lift access, reverse cycle heating/cooling, and a bike area in the car park.,The complex also features an amazing roof top relaxation area with BBQ and amazing views over St Kilda and the bay.",2 BEDROOM APARTMENT WITH ROOFTOP VIEWS OF ST KILDA,Apartment & Unit,"Hendrik Bun,Gummie since, ,2012","222, , views"
Brighton East VIC,27/11/2019,1 Bathroom,3 Bedrooms,20/11/2019,5 hours ago,,,https://www.gumtree.com.au/s-ad/brighton-east/property-for-rent/when-size-does-matter/1234017092,,,$415,,"Not new, but spacious and welcoming this first floor 3 bedroom unit is ready for new tenants. 2 very large bedrooms, spacious lounge, extending to a big balcony, dining room/bedroom 3; main bathroom with separate toilet; large kitchen. Convenient location - just meters from Hawthorn Road tram. Great value for money!,Inspections:,Thursday 28/11/19 2.15 pm-2.45 pm,Saturday 30/11/19 12.00 pm-12.30 pm",WHEN SIZE DOES MATTER,Apartment & Unit,"Alex Jarrel,4, ,ads,Gummie since, ,2011","251, , views"
"302/1 Pettys Lane, Doncaster VIC",01/12/2019,2 Bathrooms,2 Bedrooms,20/11/2019,20/11/2019,No,,https://www.gumtree.com.au/s-ad/doncaster/property-for-rent/renting-an-apartment-2-bedrooms-2-bathrooms-1-car-position/1234027050,LUG,No,$450,,"The property's condition is very good, and only 1 min walk-distance to 907 bus station to City. The school zone of Birralee Primary School, a 99 score public primary school. Close to the Westfield-Doncaster.",Renting an apartment - 2 Bedrooms 2 bathrooms   1 car position,Apartment & Unit,"Michael Li,Gummie since, ,2019","119, , views"
West Melbourne,25/11/2019,1 Bathroom,2 Bedrooms,20/11/2019,20/11/2019,Yes,,https://www.gumtree.com.au/s-ad/west-melbourne/property-for-rent/fully-furnished-two-bedroom-apartment-for-rent/1234031584,Street,,$480,,"This elegant loft-style two bedroom apartment is located at 429 Spencer Street West Melbourne. Its dynamic living spaces are built over two levels. Upstairs comprises of two bedrooms with a cosy balcony, a fully tiled bathroom just opposite the two bedrooms. Downstairs is a timber flooring living area, and a kitchen area with air conditioning, built in washer-dryer and dishwasher. This comfortable apartment is perfect for those who study or work around Melbourne CBD.",Fully Furnished Two Bedroom Apartment for Rent,Apartment & Unit,"Lin,Gummie since, ,2009","191, , views"
burwood 3125,,,,20/11/2019,26/11/2019,,,https://www.gumtree.com.au/s-ad/burwood/property-for-rent/2-rooms-for-rent-in-burwood-opposite-deakin-univerity/1234030051,,,$750,,"2 rooms available,520 $ rent,Available from 1st December,1 min walk to tram stop,3 min walk to deakin uni,Parking available",2 rooms for rent in burwood opposite deakin univerity,Apartment & Unit,"Uday,Gummie since, ,2018","63, , views"
"Flinders Street, Melbourne VIC 3000",15/12/2019,1 Bathroom,2 Bedrooms,20/11/2019,29/11/2019,Yes,,https://www.gumtree.com.au/s-ad/melbourne-cbd/property-for-rent/flinders-street-apratment-single-room-rent/1234038025,,No,$194.50,,"Flinders station opposite apartment single room for rent.,$850/ month (around $195/week),Include reasonable bills and furniture,045251758 Dennis,please use text messages,Thank you",Flinders street apratment single room rent,,"Dennis,Gummie since, ,2014","178, , views"
Carlton,21/11/2019,1 Bathroom,Studio or Bachelor Pad,20/11/2019,20/11/2019,Yes,,https://www.gumtree.com.au/s-ad/carlton/property-for-rent/fully-furnished-studio-apartment-for-rent/1234034497,Street,,$330,,"This studio apartment is fully furnished with a double bed and built in robes, and offers an open plan kitchen living area with in-built electric cooktop as well as a spacious bathroom. It is located at 466 Swanston Street, within walking distance to the heart of Melbourne City and many other amenities, tram stops, cafes and restaurants just right outside the doorstep, this is a location not to be missed!",Fully Furnished Studio Apartment for Rent,Apartment & Unit,"Lin,Gummie since, ,2009","389, , views"
"275 Gladstone Road, Dandenong North VIC",15/12/2019,1 Bathroom,3 Bedrooms,20/11/2019,25/11/2019,Yes,,https://www.gumtree.com.au/s-ad/dandenong-north/property-for-rent/house-for-rent-dandenong-north-open-to-view-30th-nov-10-30am-sat/1234034998,Covered,No,$395,,"Great Opportunity!! Open to view: 30th Nov. 10.30am-Saturday,275 GLADSTONE ROAD, DANDENONG NORTH,This solid brick veneer family home is located in a sought after location. This well positioned home features a renovated simple design to maximise comfort. Providing super quick access to Eastlink and Monash Freeway, local hospitals and Waverley Gardens Shopping Centre. Enjoy the plentiful parklands and the numerous bus routes just down the street. Local schools include Rosewood Downs Primary and Lyndale Secondary.,Call Christina -******1003,Featuring 3 generous sized bedrooms, formal lounge, separate family, renovated kitchen, bathroom with toilet. The entrance from the front porch leads into the large dining lounge, renovated kitchen and another living area. With a beautiful outdoor entertaining area, and balcony overlooking the back yard. Also has large garage plus small shed, and comes fully furnished.,Open for inspection Saturday 30th of November 2019. 10.30am-11am,Bond is 1 months rent of $1716 per month rent.,Come to view!",House for rent Dandenong North- Open to view: 30th Nov. 10.30am-Sat,House,"Christina,Gummie since, ,2013","279, , views"
Dandenong,10/01/2020,1 Bathroom,3 Bedrooms,20/11/2019,26/11/2019,Yes,,https://www.gumtree.com.au/s-ad/dandenong/property-for-rent/room-for-rent-available-in-dandenong/1234039393,Covered,No,$180,No,"Looking for female student only,prefered indian , sri lanka , in 3 bedroom house close to station,own bedroom available ,furnitured, bills included, available in middle of january ,text me for more info",Room for rent available in Dandenong,House,"gumtree user,31, ,ads,Gummie since, ,2012","69, , views"
"82 Cade Way, Parkville",25/11/2019,2 Bathrooms,2 Bedrooms,20/11/2019,25/11/2019,Yes,,https://www.gumtree.com.au/s-ad/melbourne-cbd/property-for-rent/furnished-double-storey-apartment-for-lease-month-to-month/1234040237,Covered,,$500,No,"2 Bed 2 Bath 1 Car Fully Furnished Apartment,Condition of Lease:,- Month to Month,- 28 days notice period to vacate,- not include bills (negotiable),- maintain property at inspectionable condition,- allow property inspections for potential buyers,Spanning over 2 floors, this split level apartment is set in a quiet residential street on a private lot within the former Commonwealth Games athlete village, this amazing and near new property will win gold with all your expectations.,Escape the plight of tiny, inner city apartments and start your new life with this 2 bedroom, 2 bathroom property, tucked away in the ever popular Parkville postcode.,With Mount Alexander Road only minutes away and public transport at your fingertips, getting into the CBD has never been easier and quicker.",Furnished Double Storey Apartment for Lease - Month to Month,Apartment & Unit,"J.,Gummie since, ,2014","328, , views"
"Werribee VIC 3030, Australia",,,,20/11/2019,5 hours ago,No,,https://www.gumtree.com.au/s-ad/werribee/property-for-rent/house-for-rent/1234040756,,No,$325,No,"House with 3 bedroms for rent in the centre of Werribee,only 1 min walking to bus stop,15 mins walking to Werribee station, near all shops and supermarkets such as Bunnings,Woolworths, Pizza Hut.... It is available now.,Rent is $325 per week,Bond:$1500,Please give me a message for inspection time if you are interested.Thanks",House for rent,,"Rez,Gummie since, ,2018","294, , views"
"1 Robyn Ave, Albanvale VIC 3021, Australia",,1 Bathroom,3 Bedrooms,19/11/2019,19/11/2019,No,,https://www.gumtree.com.au/s-ad/albanvale/property-for-rent/3-bedroom-spacious-unit-for-rent-in-albanvale/1233973099,,No,$0,No,"ONLY CALLS AND SMS, NO GUMTREE MESSAGE,3 bedroom nice unit for rent,Robyn Ave Albanvale,call or sms for info on availablity , rent,I don't have other info as i am posting for landlord,call ******8808, ******0392, ******0122",3 Bedroom Spacious unit for rent in Albanvale,Apartment & Unit,"Aman,5, ,ads,Gummie since, ,2017","268, , views"
Alphington VIC,18/12/2019,2 Bathrooms,3 Bedrooms,19/11/2019,19/11/2019,No,,https://www.gumtree.com.au/s-ad/alphington/property-for-rent/location-and-lifestyle/1233976327,LUG,No,$695,No,"Two-story, three generous bedroom home with polished floorboards throughout, stainless steel kitchen and open plan living and dining opening onto private fully paved courtyard - low maintenance garden. Lock up garage and attic storage. Heating and cooling throughout. Move in an enjoy being steps away from Station Street shops, schools and the Yarra River bike paths.",Location and lifestyle,House,"Siro Cavalieri,Gummie since, ,2012","70, , views"
51 Galada Ave.,23/11/2019,1 Bathroom,1 Bedroom,19/11/2019,19/11/2019,No,,https://www.gumtree.com.au/s-ad/parkville/property-for-rent/lease-transfer/1233982166,LUG,,$380,,"* $380 Per Week,* Contract ends 27/03/20 (extendable).,* One bedroom with spacious open-plan living area.,* ~4 km from CBD,* 25 m indoor lap pool,* Gym,* Outdoor bbq with residents' retreat area.",Lease Transfer,,"sev,Gummie since, ,2018","251, , views"
Fawkner,28/11/2019,1 Bathroom,4 Bedrooms,19/11/2019,25/11/2019,,,https://www.gumtree.com.au/s-ad/coburg-north/property-for-rent/2-rooms-available-in-fawkner/1233975393,Street,,$380,,"2 Full rooms available for only Pakistani males in Fawkner, 380/m each. 1st room is available from 28/11/19 and 2nd room available from 05/12/19. Both rooms are nice sized, neat, clean and carpeted. Utilities are not included. You can contact following numbers after 28th because my number after 28th will not work.,Shahzeb: 0 four 2 six 4 4 nine 6 7 three,Asif: 0 four 1 1 four 3 nine 5 three 6,Mention of room ad to them please.,Thanks.",2 Rooms available in Fawkner,House,"Awais,Gummie since, ,2012","44, , views"
"14 deakin Grove, Burnside Heights",25/11/2019,2 Bathrooms,3 Bedrooms,19/11/2019,21/11/2019,Yes,,https://www.gumtree.com.au/s-ad/burnside/property-for-rent/house-for-rent/1233983315,Covered,No,$550,No,"A master Bedroom is available for rent in Burnside Heights near caroline springs. Room is furnished, close to watervale shopping centre. Looking for two boys or two girls and rent is 800$ and if there is single girl or a boy then rent is 550$ if intersted then text me for further details.",House for rent,House,"Gurbinder,Gummie since, ,2015","54, , views"
"Clarinda, VIC",30/11/2019,1 Bathroom,3 Bedrooms,19/11/2019,19/11/2019,No,,https://www.gumtree.com.au/s-ad/clarinda/property-for-rent/3-bedroom-house-for-rent/1233985494,Covered,Yes,$412,No,"3 Bedroom Hall/ dining and separate kitchen,One toilet and bathroom,On Cleeland street Dandinong 3175,Close to Dandinong hospital,Chisholm TAFE,Den dining market,Dandinong high,Message me,Expected minimum rent 412 per werk,Bus stop in front of the house",3 bedroom house for rent,House,"Zubi,Gummie since, ,2013","286, , views"
"1/15 Hourigan Avenue, Clayton VIC",07/12/2019,2 Bathrooms,4 Bedrooms,19/11/2019,20/11/2019,Yes,,https://www.gumtree.com.au/s-ad/clayton/property-for-rent/a-walk-from-clayton-station-and-monash-university/1233985593,LUG,,$900,,"LOVELY FURNISHED HOUSE AVAILABLE,Looking for a lease transfer!,4-bedroom house available in Clayton from 7th Dec. The term of lease is negotiable. 2 bedrooms have en-suite bathrooms, 3 toilets, air-conditioning and heating. House is spacious with a kitchen, dining area, living room and a garage (that could fit two cars).,Only about 10 minutes walk to Clayton station, 18 minutes walk to Monash University (Clayton) and just 3-5 minutes walk to Monash Medical Centre.,Rent is $225/week per room. Or $3910/month for the entire house.,If you have any questions please PM me. Or contact CITY WIDE REAL ESTATE - Costa ******** 007 for an inspection!",A walk from Clayton station and Monash University,Apartment & Unit,"Lim,Gummie since, ,2018","223, , views"
"806/55 Merchant Street, Docklands VIC",01/12/2019,1 Bathroom,2 Bedrooms,19/11/2019,19/11/2019,Yes,,https://www.gumtree.com.au/s-ad/docklands/property-for-rent/docklands-apartment-two-rooms-one-bath-one-parking/1233986192,Covered,No,$560,No,"$560/week, 2 bedrooms, 1 bathroom, 1 living room, and 1 parking spot.,Free tram zone, 50m tram stop, 100m Woolworth Asian supermarket, restaurant, pharmacy, clinic, near Myer and ANZ office building.,The house has two bedrooms and one living room. There is a big balcony with good illumination. The room is not hot in summer and there is central air conditioning.,Check-in time: From December, you can renew your contract with the agent.,All furnished: desk, queen-size bed, kitchen facilities.,Need to see the room contact ******8211 (Terry)","Docklands apartment two rooms, one bath, one parking",Apartment & Unit,"Terry,Gummie since, ,2019","123, , views"
"5 Little La Trobe St, Melbourne VIC 3000",01/12/2019,1 Bathroom,Studio or Bachelor Pad,19/11/2019,19/11/2019,Yes,,https://www.gumtree.com.au/s-ad/melbourne-cbd/property-for-rent/apartment-for-rent-all-bills-included/1233987912,None,,$320,No,"Hi !,I want to find a replacement STUDENT to take over the remainder of my apartment lease from December-March, after the contract end (on march) if u want to still live here it's okay, but with normal price. However, if you're NOT STUDENT u can still rent from dec-20 feb but pay at the start.,--Melbourne central 2 mins by walk,-state library of victoria 2 mins by walk,-RMIT 1 mins by walk,let me know a week before if u interested,u can check the normal price per week $469 (scape.com) and if u have any questions please contact me :)),message on the gumtree or email a.d******@******com",APARTMENT FOR RENT ALL BILLS INCLUDED,Apartment & Unit,"Devi Savira,Gummie since, ,2019","254, , views"
Parkville VIC,06/12/2019,2 Bathrooms,2 Bedrooms,20/11/2019,20/11/2019,No,,https://www.gumtree.com.au/s-ad/parkville/property-for-rent/2-bed-2-bath-apartment-with-amazing-city-views-for-rent-in-parkville/1232984854,Covered,Yes,$550,,"As we need to upgrade to a bigger property, an amazing apartment with floor to ceiling views of the city and Princes Park is avaiable for rent from 6th Decemeber 2019. It is a two level aparmetn with 2 bedrooms, 2 bathrooms and powder room. Full video security, secure garage parking and reverse cycle air conditioning. The apartment is walking distance to a train station, trams ( #19) and Sydney road shops.,Address is 228 The Avenue, Parkville.",2 Bed 2 Bath Apartment with amazing city views for rent in Parkville,Apartment & Unit,"Strider,6, ,ads,Gummie since, ,2014","123, , views"
the boulevard,05/12/2019,1 Bathroom,2 Bedrooms,19/11/2019,19/11/2019,Yes,,https://www.gumtree.com.au/s-ad/hawthorn-east/property-for-rent/2-months-stay-for-female-/1233989856,,,$490,Yes,"Hello!,Please note that this is available for a short period- 5th December 2019-19th february 2019.,We are 3 Indian girls seeking for 1 female roommate. The house is located at Hawthorn and is ideal for swinburne students. The transport is very reliable and is near to the tram stop (70 & 75) and glenferri station. The house has 2 bedrooms and 1 bathroom and is furnished along with all the kitchen appliances. The rent is $490/month per person excluding bills. The electricity,wifi and gas bills will be shared equally.,Ping me only if interested.",2 months stay for female!,,"Mitsu,Gummie since, ,2019","28, , views"
Melbourne VIC,19/11/2019,1 Bathroom,3 Bedrooms,19/11/2019,19/11/2019,No,,https://www.gumtree.com.au/s-ad/melbourne-cbd/property-for-rent/renovated-3-bedroom-apartment-for-rent-melbourne-cbd/1233988458,Covered,Yes,$670,No,"Light and spacious, recently renovated inner-city pad!,403/118 DUDLEY STREET, WEST MELBOURNE,***Recently Renovated***,$670 pw with 1 carspace or $690pw with 2 carspaces,Please ring Suzie on ******** 130 to schedule an inspection today,A rare opportunity exists to secure this large three bedroom apartment in the heart of West Melbourne. Perfect proximity to the CBD and just moments to the beautiful Flagstaff Gardens, Queen Victoria Market and ample public transport options, this unique space will tick every box.,The moment you step inside this stunning property you will be instantly impressed by the sheer amount of natural light and sense of space it offers. Gorgeous new timber floors throughout and fresh white paint make the perfect clean slate to make your own, while bright new LEDs throughout and a newly renovated kitchen give this property an instant lift. Comprising three spacious bedrooms all with built in wardrobes- third room is perfect for a study or guest bedroom- are all serviced by a modern central bathroom with shower-over-bath and laundry facilities.,The generous open plan lounge/dining with your own large balcony is perfect for entertaining while the modern kitchen with stainless steel appliances, stone bench tops, gas cooking and space for a dishwasher is truly the heart of the home.,Additional features include TWO secure basement carspaces, storage unit, split system heating and A/C, intercom, building manager and concierge, gym and outdoor BBQ area. Be quick to inspect, this value-packed property will not last long!",Renovated 3 Bedroom Apartment for Rent Melbourne CBD,Apartment & Unit,"Nikhil Sapre,Gummie since, ,2019","171, , views"
"2 Archie Street, Tarneit VIC",20/11/2019,2 Bathrooms,3 Bedrooms,20/11/2019,20/11/2019,No,,https://www.gumtree.com.au/s-ad/tarneit/property-for-rent/family-home-for-rent/1233991535,LUG,No,$400,No,"This spacious 3 bedroom home, only 9 years old, boasts the luxury and comfort of an additional living space and a spacious backyard. Comes with exclusive and free access to the Moorookyle Country Club (Gym, 25m Swimming Pool, BBQ area, parks and play fields).,Immaculately finished, discover spacious open-plan living/dining and a chef-friendly kitchen with a stylish island bench and high-end Fisher and Paykel dishwasher.,Enjoy a versatile formal living room before stepping outside to a paved patio, alongside a low-maintenance, landscaped garden and lawn, perfect for entertaining.,• 3 large bedrooms, main with WIR and deluxe ensuite, 2 with BIR,• Luxurious, centrally located bathroom with bath and walk-in shower,• Large separate laundry,• Ducted heating throughout plus split-system air conditioning,• Remote-controlled 2-car garage featuring internal entry,• Moorookyle facilities include use of swimming pool, tennis courts, gym, and much more,Superbly positioned in a dynamic neighbourhood united by the exclusive Moorookyle Country Club, this is low-maintenance living.,Public Transport:,Tarneit Station - 4 km,167 Bus Stop - 470 m (To Hoppers Crossing Station, Tarneit Station, Pacific Werribee Shopping Centre),Schools:,Islamic College Of Melbourne - 1.47 km,Good News Lutheran College - 1.67 km,Tarneit P-9 College - 1.74 km,Tarneit Senior College - 1.91 km,The Grange P-12 College - 2.30 km",Family home for RENT,House,"Navid,Gummie since, ,2016","298, , views"
Travancore,20/11/2019,1 Bathroom,2 Bedrooms,20/11/2019,30/11/2019,Yes,,https://www.gumtree.com.au/s-ad/flemington/property-for-rent/partly-furnished-two-bedroom-near-city/1233995867,LUG,No,$430,No,"The two bedroom apartment is on 24th floor and has great views. It has a parking space and a big storage room. it is close to IGA , community centre, tram stop,tennis court,restaurants, Train station, a park and schools.,Can be rented as partly furnished or furnished . Please contact me for the fully furnished rent,Featuring:,• Two bedrooms with built in robes,• Open plan lounge, kitchen and dining area,• Single bed with mattress, queen bed with mattress, sofa bed, dining table with chairs, office chair, shelf, bedside table, dishwasher,,• One secure car park,• Audio visual security intercom system,• Sky Deck Resident Garden and BBQ area with fantastic Melbourne CBD City Skyline Views,• Resident Gymnasium facility and sauna,Only minutes away from all key amenities including IGA shops, universities, transport, hospitals and be. 10 meters from tram station.,Note, this will be managed by an agent and you will go through all normal rental procedures: documents, rental history, bond, contract, etc.",Partly furnished two bedroom near city,,"UT,Gummie since, ,2010","202, , views"
